"Teryt";"Kod kraju";"Województwo";"Kod gm.";"Gmina";"Typ gminy";"Okręg do Sejmu nr";"Okręg do Senatu nr";"Nr obwodu";"Adres obwodu";"Typ obwodu";"Przystosowany dla niepełnosprawnych";"Granice obwodu"
"140000";"PL";"mazowieckie";"146101";"Ostrołęka";"miasto";"18";"46";"1";"I Liceum Ogólnokształcące, ul. Romualda Traugutta 1 , Ostrołęka 07-410 Ostrołęka";"Powszechny";"Nie";"22 Lipca, Antoniego Spiro, Bitwy pod Ostrołęką, Bojowników, Ciasna, Czeczotka, Dolna, Działkowa, Fortowa, Gen. Ludwika Kickiego, Gen. Zygmunta Padlewskiego, Gościniec Mazurski, Gustawa Pajewskiego, Juliusza Konstantego Ordona, Kaszubska, Kazimierza Piotrowskiego, Ks. Stanisława Brzóski, Kujawska, Kurpiowska, Ludwika Staniszewskiego, Mazurska, Millenium, Mostowa, Obozowa, Obrońców, Okopowa, Orła Bielika, Otok, Pamięci Narodowej, Płk. Edwarda Filochowskiego ""Sana"", Płk. Stefana Chomicza, Pionierów, Podchorążych, Poległych, Pomorska, Redutowa, Romualda Traugutta - numery nieparzyste, Słoneczna, Sobótkowa, Stacha Konwy numery nieparzyste od nr 1 do 11 włącznie i numery parzyste od nr 2 do nr 62 włącznie, Szańcowa, Szarych Szeregów, Szpitalna - numery nieparzyste od Nr 15 do końca i numery parzyste od Nr 26 do końca, Sztabowa, Śląska, Walecznych, Warmińska, Warszawska - numery nieparzyste od nr 1 do nr 5, numery parzyste od nr 2 do nr 48, Wioślarska, Zwycięzców, Zygmunta Sierakowskiego, Żuławska"
"140000";"PL";"mazowieckie";"146101";"Ostrołęka";"miasto";"18";"46";"2";"Urząd Miasta Ostrołęki, Plac Gen. J. Bema 1 , Ostrołęka 07-410 Ostrołęka";"Powszechny";"Tak";"Adama Mickiewicza, Bartosza Głowackiego, Bernardyńska, Farna, Gen. Ludwika Bogusławskiego - numery parzyste, Gen. Tadeusza Kościuszki, Gołębia, Ignacego Daszyńskiego, Króla Stanisława Leszczyńskiego, Mikołaja Kopernika - numery parzyste, Plac Gen. Józefa Bema, Plac Jana Pawła II, Plac Kardynała Stefana Wyszyńskiego, Poprzeczna, Przechodnia, Rybacka, Skryta, Sowia, Spacerowa, Stanisława Staszica, Staromostowa, Szpitalna - numery parzyste od 2 do 22 i numery nieparzyste od Nr 1 do Nr 9 włącznie, Szwedzka, Świętokrzyska, Tadeusza Rejtana, Wiktora Gomulickiego, Wójta Romy, Wojciecha Dłużniewskiego, Zofii Niedziałkowskiej"
"140000";"PL";"mazowieckie";"146101";"Ostrołęka";"miasto";"18";"46";"3";"Przedszkole Miejskie Nr 10, ul. Mazowiecka 7 , Ostrołęka 07-410 Ostrołęka";"Powszechny";"Nie";"Berka Joselewicza, Grodzka, Henryka Sienkiewicza - numery parzyste do Nr 32 włącznie, Jana Kilińskiego, Króla Jana Kazimierza, Króla Stefana Batorego, Księcia Janusza, Księcia Siemowita III, Łęczysk - numery parzyste do Nr 64 i numery nieparzyste do Nr 55 włącznie, Mała, Mazowiecka, Modra, Nadnarwiańska, Plac 1 Maja, Spokojna, Wąska, Wincentego Pstrowskiego"
"140000";"PL";"mazowieckie";"146101";"Ostrołęka";"miasto";"18";"46";"4";"Szkoła Podstawowa Nr 6, ul. Henryka Sienkiewicza 15 , Ostrołęka 07-410 ostrołęka";"Powszechny";"Nie";"6 Września, Elizy Orzeszkowej, Franciszka Stefczyka, Fryderyka Chopina, Gospodarcza, Henryka Sienkiewicza - numery nieparzyste od Nr 7 do Nr 41 i numery parzyste od Nr 34 do końca, Jana Kędzierskiego, Jana Krasickiego, Janusza Korczaka - numery nieparzyste do Nr 31 włącznie i numery parzyste do Nr 8 włącznie, Juranda ze Spychowa, Kmicica, Kosynierów, Króla Jana Sobieskiego, Króla Władysława Jagiełły, Łęczysk - numery parzyste od Nr 66 do końca i numery nieparzyste od Nr 57 do końca, Marcina Kasprzaka, Nowa, Nowomiejska, Piotra Wysockiego, Podbipięty, Powstańców - numery nieparzyste od Nr 21 do końca i numery parzyste od Nr 20 do końca, Poznańska - numery parzyste, Skrzetuskiego, Stefana Czarnieckiego, Stefana Okrzei, Wilcza, Władysława Reymonta - numery parzyste, Wołodyjowskiego, Zagłoby, Zawiszy Czarnego, Zyndrama z Maszkowic"
"140000";"PL";"mazowieckie";"146101";"Ostrołęka";"miasto";"18";"46";"5";"Gimnazjum Nr 2, ul. Stefana Jaracza 5 , Ostrołęka 07-410 ostrołęka";"Powszechny";"Nie";"Heleny Modrzejewskiej, Henryka Sienkiewicza - numery nieparzyste od Nr 43 do końca, Stefana Jaracza"
"140000";"PL";"mazowieckie";"146101";"Ostrołęka";"miasto";"18";"46";"6";"Szkoła Podstawowa Nr 5, ul. Romualda Traugutta 2 , Ostrołęka 07-410 Ostrołęka";"Powszechny";"Nie";"26 Maja, Adama Chętnika, Dr. Józefa Psarskiego, Gen. Henryka Kamieńskiego, Gen. Ludwika Bogusławskiego - numery nieparzyste do Nr 19 włącznie, Marszałka Józefa Piłsudskiego - numery nieparzyste do Nr 17 włącznie, Oskara Kolberga, Parkowa, Romualda Traugutta - numery parzyste od Nr 2 do Nr 10 włącznie, Sędziego Tomasza Gocłowskiego, Szkolna"
"140000";"PL";"mazowieckie";"146101";"Ostrołęka";"miasto";"18";"46";"7";"Szkoła Podstawowa Nr 2, ul. Papiernicza 1 , Ostrołęka 07-410 Ostrołęka";"Powszechny";"Tak";"Celulozowa, Marszałka Józefa Piłsudskiego - numery nieparzyste od Nr 19 do końca, Olimpijska, Papiernicza, Romualda Traugutta - numery parzyste od Nr 14 do końca, Sportowa, Tadeusza Sygietyńskiego"
"140000";"PL";"mazowieckie";"146101";"Ostrołęka";"miasto";"18";"46";"8";"Ostrołęcka Spółdzielnia Mieszkaniowa, ul. Gen.Józefa Hallera 13 , Ostrołęka 07-410 Ostrołęka";"Powszechny";"Nie";"Bohaterów Westerplatte, Celna, Gen. Józefa Hallera - numery nieparzyste, Lokalna, Oświatowa, Targowa, Wincentego Witosa"
"140000";"PL";"mazowieckie";"146101";"Ostrołęka";"miasto";"18";"46";"9";"Przedszkole Miejskie Nr 13, ul. Dzieci Polskich 5 , Ostrołęka 07-410 Ostrołęka";"Powszechny";"Nie";"Aleja Solidarności, 11 Listopada - numery nieparzyste od Nr 23 do końca, Baśniowa, Dzieci Polskich, Graniczna, Guliwera, Jaśminowa, Konwaliowa, Kubusia Puchatka, Ławska, Mleczna, Ostrowska - numery nieparzyste od Nr 1 do Nr 11 włącznie, Poziomkowa, Skrzatów, Syreny, Tadeusza Zawadzkiego ""Zośki"", Wodnika, Wrzosowa, Zielona."
"140000";"PL";"mazowieckie";"146101";"Ostrołęka";"miasto";"18";"46";"10";"Przedszkole Miejskie Nr 5, ul. Piękna 12 , Ostrołęka, Wojciechowice 07-410 Ostrołęka";"Powszechny";"Nie";"I Armii Wojska Polskiego, 5 Pułku Ułanów, Batalionu Czwartaków, Braterstwa Broni, Budowlanych, Elektryczna, Energetyczna, Fabryczna, Gen. Józefa Sowińskiego, Gen. Kazimierza Pułaskiego, Gen. Tomasza Turskiego, Jasna, Kołobrzeska, Konstantego Ildefonsa Gałczyńskiego, Koszarowa, Krańcowa, Ks. Antoniego Pęksy, Ks. Jana Krzemińskiego, Legionowa, Łomżyńska, Łużycka, Partyzantów, Piękna, Środkowa, Wiaduktowa, Wiery Bielik i Tatiany Makarowej, Władysława Broniewskiego, Wspólna"
