"Nr okręgu";"Siedziba OKW";"Nr listy";"Nazwa komitetu";"Typ komitetu";"Nr kandydata na liście";"Nazwisko";"Imiona";"Zawód";"Płeć";"Miejsce zamieszkania";"Partia polityczna";"Wybrany";"Liczba głosów";"% głosów w okręgu";"% głosów na listę";"Treść oświadczenia lustracyjnego"
"1$";"Legnica";"1";"Komitet Wyborczy Prawo i Sprawiedliwość";"partia";"1";"Lipiński";"Adam Józef";"parlamentarzysta";"M";"Warszawa";"członek partii Prawo i Sprawiedliwość";"T";"25523";"7,42";"26,79";""
"1$";"Legnica";"1";"Komitet Wyborczy Prawo i Sprawiedliwość";"partia";"2";"Witek";"Elżbieta Barbara";"parlamentarzysta";"K";"Jawor";"członek partii Prawo i Sprawiedliwość";"T";"9381";"2,73";"9,85";""
"1$";"Legnica";"1";"Komitet Wyborczy Prawo i Sprawiedliwość";"partia";"3";"Machałek";"Marzena Anna";"parlamentarzysta";"K";"Kamienna Góra";"członek partii Prawo i Sprawiedliwość";"T";"11812";"3,43";"12,40";""
"1$";"Legnica";"1";"Komitet Wyborczy Prawo i Sprawiedliwość";"partia";"4";"Ślusarz";"Rafał Józef";"lekarz";"M";"Gryfów Śląski";"członek partii Prawo i Sprawiedliwość";"N";"5657";"1,64";"5,94";""
"1$";"Legnica";"1";"Komitet Wyborczy Prawo i Sprawiedliwość";"partia";"5";"Idczak";"Witold Lech";"inżynier budownictwa";"M";"Legnica";"członek partii Prawo i Sprawiedliwość";"N";"6289";"1,83";"6,60";""
"1$";"Legnica";"1";"Komitet Wyborczy Prawo i Sprawiedliwość";"partia";"6";"Stachyra";"Jerzy Grzegorz";"wyższy urzędnik samorządowy";"M";"Bogatynia";"członek partii Prawo i Sprawiedliwość";"N";"6451";"1,87";"6,77";""
"1$";"Legnica";"1";"Komitet Wyborczy Prawo i Sprawiedliwość";"partia";"7";"Kubów";"Krzysztof Jan";"specjalista administracji publicznej";"M";"Lubin";"członek partii Prawo i Sprawiedliwość";"N";"6082";"1,77";"6,38";""
"1$";"Legnica";"1";"Komitet Wyborczy Prawo i Sprawiedliwość";"partia";"8";"Zembik";"Wojciech Bolesław";"inżynier elektronik";"M";"Lubań";"członek partii Prawo i Sprawiedliwość";"N";"1408";"0,41";"1,48";""
"1$";"Legnica";"1";"Komitet Wyborczy Prawo i Sprawiedliwość";"partia";"9";"Grocki";"Władysław Ryszard";"technik górnictwa";"M";"Złotoryja";"członek partii Prawo i Sprawiedliwość";"N";"2333";"0,68";"2,45";""
"1$";"Legnica";"1";"Komitet Wyborczy Prawo i Sprawiedliwość";"partia";"10";"Sidorowicz";"Dorota Małgorzata";"fizjoterapeuta";"K";"Chocianów";"członek partii Prawo i Sprawiedliwość";"N";"2658";"0,77";"2,79";""
"1$";"Legnica";"1";"Komitet Wyborczy Prawo i Sprawiedliwość";"partia";"11";"Horzempa";"Mirosław";"politolog";"M";"Kruszyn";"członek partii Prawo i Sprawiedliwość";"N";"852";"0,25";"0,89";""
