"nazwa";"skrot_nazwy";"adres";"adres_www";"sygnatura";"status";"typ";"pelnomocnik_wyborczy";"pelnomocnik_finansowy";"zamiar_zglaszania_kandydatow";"list_kandydatow_na_poslow";"kandydatow_na_poslow";"kandydatow na senatorow"
"Komitet Wyborczy Prawo i Sprawiedliwość";"KW Prawo i Sprawiedliwość";"02-018 Warszawa, ul. Nowogrodzka 84/86";"http://www.kwprawoisprawiedliwosc.pl";"ZPOW-540-007/11";"Zarejestrowany";"Komitet wyborczy partii politycznej";"Krzysztof Sobolewski";"Stanisław Kostrzewski";"Sejm i Senat";"41";"916";"93"
"Komitet Wyborczy Polska Jest Najważniejsza";"KW Polska Jest Najważniejsza";"ul. Aleje Ujazdowskie 26, 00-478 Warszawa";"http://stronapjn.pl/wybory-2011/";"ZPOW-540-006/11";"Zarejestrowany";"Komitet wyborczy partii politycznej";"Grzegorz Krzysztof Kądzielawski";"Marzena Katarzyna Kozak";"Sejm i Senat";"41";"786";"13"
"Komitet Wyborczy Sojusz Lewicy Demokratycznej";"Komitet Wyborczy SLD";"00-419 Warszawa, ul. Rozbrat 44a";"http://www.sld.org.pl/wybory";"ZPOW-540-005/11";"Zarejestrowany";"Komitet wyborczy partii politycznej";"Katarzyna Bernadetta Olszewska";"Robert Andrzej Kowalewski";"Sejm i Senat";"41";"913";"68"
"Komitet Wyborczy Ruch Palikota";"KW Ruch Palikota";"ul. Fabryczna 16/22 lok. 24, 00-446 Warszawa";"http://www.komitetwyborczyruchpalikota.pl";"ZPOW-540-002/11";"Zarejestrowany";"Komitet wyborczy partii politycznej";"Łukasz Piłasiewicz";"Danuta Teresa Wójcik";"Sejm";"41";"860";"x"
"Komitet Wyborczy Polskie Stronnictwo Ludowe";"Komitet Wyborczy PSL";"00-924 Warszawa, ul. Kopernika 36/40";"http://www.komitetwyborczypsl.pl";"ZPOW-540-009/11";"Zarejestrowany";"Komitet wyborczy partii politycznej";"Józef Szczepańczyk";"Kamila Katarzyna Kurlej";"Sejm i Senat";"41";"917";"68"
"Komitet Wyborczy Polska Partia Pracy - Sierpień 80";"Komitet Wyborczy PPP - Sierpień 80";"00-570 Warszawa, Al. Wyzwolenia 18";"http://partiapracy-wybory.pl/";"ZPOW-540-001/11";"Zarejestrowany";"Komitet wyborczy partii politycznej";"Janusz Stefan Anioł";"Zbigniew Stanisław Śniadecki";"Sejm i Senat";"41";"774";"14"
"Komitet Wyborczy Platforma Obywatelska RP";"KW Platforma Obywatelska RP";"00-159 Warszawa, ul. Andersa 21";"http://www.platforma.org/pl/platforma/kwpo/";"ZPOW-540-003/11";"Zarejestrowany";"Komitet wyborczy partii politycznej";"Grzegorz Wójtowicz";"Łukasz Pawełek";"Sejm i Senat";"41";"915";"93"
"Komitet Wyborczy Nasz Dom Polska-Samoobrona Andrzeja Leppera";"KW NDP-Samoobrona Leppera";"Al. Jerozolimskie 30, 00-024 Warszawa";"";"ZPOW-540-016/11";"Zarejestrowany";"Komitet wyborczy partii politycznej";"Jan Sochocki";"Stanisław Kowalczyk";"Sejm i Senat";"9";"165";"3"
"Komitet Wyborczy Nowa Prawica - Janusza Korwin-Mikke";"KW Nowa Prawica - Janusza Korwin-Mikke";"03-831 Warszawa, ul. Podskarbińska 11A";"http://www.kw.nowaprawica.org.pl";"ZPOW-540-012/11";"Zarejestrowany";"Komitet wyborczy partii politycznej";"Mieczysław Burchert";"Janusz Leszek Żurek";"Sejm i Senat";"21";"387";"10"
"Komitet Wyborczy Prawica";"KW Prawica";"ul. Wałowa 1A, 37-450 Stalowa Wola";"http://www.kwprawica.pl";"ZPOW-540-004/11";"Zarejestrowany";"Komitet wyborczy partii politycznej";"Lech Marek Łuczyński";"Piotr Zbigniew Cichoń";"Sejm i Senat";"20";"378";"9"
"Komitet Wyborczy Wyborców Mniejszość Niemiecka";"KWW Mniejszość Niemiecka";"45-004 Opole, ul. Marii Konopnickiej 6 lok. 104";"http://www.mniejszoscniemiecka.eu";"ZPOW-540-036/11";"Zarejestrowany";;"Ryszard Hubert Donitza";"Andrzej Paweł Klama";"Sejm i Senat";"1";"24";"2"
